antecedents,consequents,support,confidence,lift
"frozenset({'Q28_Build prototypes to explore applying machine learning to new areas', 'Q28_Build and/or run a machine learning service that operationally improves my product or workflows'})",frozenset({'Q28_Experimentation and iteration to improve existing ML models'}),0.046422469475351086,0.7319316688567674,7.467756912226126
frozenset({'Q28_Experimentation and iteration to improve existing ML models'}),"frozenset({'Q28_Build prototypes to explore applying machine learning to new areas', 'Q28_Build and/or run a machine learning service that operationally improves my product or workflows'})",0.046422469475351086,0.4736394557823129,7.467756912226125
frozenset({'Q28_Build and/or run a machine learning service that operationally improves my product or workflows'}),"frozenset({'Q28_Build prototypes to explore applying machine learning to new areas', 'Q28_Experimentation and iteration to improve existing ML models'})",0.046422469475351086,0.5131275909719023,7.200890526639029
"frozenset({'Q28_Build prototypes to explore applying machine learning to new areas', 'Q28_Experimentation and iteration to improve existing ML models'})",frozenset({'Q28_Build and/or run a machine learning service that operationally improves my product or workflows'}),0.046422469475351086,0.6514619883040935,7.200890526639029
"frozenset({'Q28_Analyze and understand data to influence product or business decisions', 'Q28_Experimentation and iteration to improve existing ML models'})",frozenset({'Q28_Build and/or run a machine learning service that operationally improves my product or workflows'}),0.04333875067716798,0.6261288380493678,6.9208722831279035
frozenset({'Q28_Build and/or run a machine learning service that operationally improves my product or workflows'}),"frozenset({'Q28_Analyze and understand data to influence product or business decisions', 'Q28_Experimentation and iteration to improve existing ML models'})",0.04333875067716798,0.4790419161676646,6.920872283127903
frozenset({'Q28_Experimentation and iteration to improve existing ML models'}),"frozenset({'Q28_Analyze and understand data to influence product or business decisions', 'Q28_Build and/or run a machine learning service that operationally improves my product or workflows'})",0.04333875067716798,0.4421768707482993,6.806233718631776
"frozenset({'Q28_Analyze and understand data to influence product or business decisions', 'Q28_Build and/or run a machine learning service that operationally improves my product or workflows'})",frozenset({'Q28_Experimentation and iteration to improve existing ML models'}),0.04333875067716798,0.6670942912123156,6.806233718631776
frozenset({'Q28_Build prototypes to explore applying machine learning to new areas'}),"frozenset({'Q28_Experimentation and iteration to improve existing ML models', 'Q28_Build and/or run a machine learning service that operationally improves my product or workflows'})",0.046422469475351086,0.3671720500988793,6.609923245478475
"frozenset({'Q28_Experimentation and iteration to improve existing ML models', 'Q28_Build and/or run a machine learning service that operationally improves my product or workflows'})",frozenset({'Q28_Build prototypes to explore applying machine learning to new areas'}),0.046422469475351086,0.8357089272318079,6.609923245478475
"frozenset({'Q28_Analyze and understand data to influence product or business decisions', 'Q28_Experimentation and iteration to improve existing ML models'})",frozenset({'Q28_Build prototypes to explore applying machine learning to new areas'}),0.05500687585948243,0.7947019867549668,6.2855845669607575
frozenset({'Q28_Build prototypes to explore applying machine learning to new areas'}),"frozenset({'Q28_Analyze and understand data to influence product or business decisions', 'Q28_Experimentation and iteration to improve existing ML models'})",0.05500687585948243,0.4350692155570204,6.285584566960757
frozenset({'Q28_Build and/or run a machine learning service that operationally improves my product or workflows'}),frozenset({'Q28_Experimentation and iteration to improve existing ML models'}),0.055548610242947036,0.6140027637033625,6.264551156713261
frozenset({'Q28_Experimentation and iteration to improve existing ML models'}),frozenset({'Q28_Build and/or run a machine learning service that operationally improves my product or workflows'}),0.055548610242947036,0.5667517006802721,6.264551156713261
frozenset({'Q28_Do research that advances the state of the art of machine learning'}),frozenset({'Q28_Experimentation and iteration to improve existing ML models'}),0.04238029753719215,0.6115453998797354,6.239479150048474
frozenset({'Q28_Experimentation and iteration to improve existing ML models'}),frozenset({'Q28_Do research that advances the state of the art of machine learning'}),0.04238029753719215,0.43239795918367346,6.239479150048473
"frozenset({'Q28_Analyze and understand data to influence product or business decisions', 'Q28_Build prototypes to explore applying machine learning to new areas'})",frozenset({'Q28_Experimentation and iteration to improve existing ML models'}),0.05500687585948243,0.6060606060606061,6.183518862090291
frozenset({'Q28_Experimentation and iteration to improve existing ML models'}),"frozenset({'Q28_Analyze and understand data to influence product or business decisions', 'Q28_Build prototypes to explore applying machine learning to new areas'})",0.05500687585948243,0.5612244897959183,6.18351886209029
frozenset({'Q26_20+'}),"frozenset({'Q25_10,000 or more employees'})",0.05125640705088136,0.5418502202643172,6.127605907484835
"frozenset({'Q25_10,000 or more employees'})",frozenset({'Q26_20+'}),0.05125640705088136,0.5796418473138548,6.127605907484834
frozenset({'Q28_Build and/or run a machine learning service that operationally improves my product or workflows'}),"frozenset({'Q28_Analyze and understand data to influence product or business decisions', 'Q28_Build prototypes to explore applying machine learning to new areas'})",0.04992290703004542,0.5518194380469829,6.0798948828344574
"frozenset({'Q28_Analyze and understand data to influence product or business decisions', 'Q28_Build prototypes to explore applying machine learning to new areas'})",frozenset({'Q28_Build and/or run a machine learning service that operationally improves my product or workflows'}),0.04992290703004542,0.5500459136822773,6.0798948828344574
"frozenset({'Q28_Analyze and understand data to influence product or business decisions', 'Q28_Build and/or run a machine learning service that operationally improves my product or workflows'})",frozenset({'Q28_Build prototypes to explore applying machine learning to new areas'}),0.04992290703004542,0.7684413085311097,6.077879393810494
